"region","region_jpn","type","country","producer","producer_jpn","vintage","store_price","name","name_jpn","sort_order","general_region","aoc_order"
"Piemonte","ピエモンテ州","5","5","Luigi Baudana","リュイジ・バウナーダ","2008","12600","D.O.C.G. Barolo","D.O.C.G. バローロ","955","20","5"
"Umbria","ウンブリア州","5","5","Perticaia","ペルティカイア","2007","6800","D.O.C.G. Montefalco Sagrantino","D.O.C.G. モンテファルコ・サグランティーノ","956","20","7"
"Bordeaux / Médoc / Margaux","ボルドー地方 / メドック地区 / マルゴー","5","1","Bordeaux Supérieur","ボルドー・シュペリウール","2010","6800","Domaine de l'ile Margaux","ドメーヌ・ドゥ・イル・マルゴー","957","9","5"
"Jura","ジュラ地方","3","1","Dom. Jean Rijckaert","ドメーヌ・ジャン・リケール","1999","7800","Arbois Chardonnay Vieilles Vignes Cuvée Paradis","アルボワ・シャルドネ・ヴィエーユ・ヴィーニュ・キュヴェ・パラディ","958","12","1"
"Vallée du Rhône / Vignoble Septentrional","ローヌ河流域 / ローヌ地方北部の栽培地域","3","1","Château Grillet (Neyret Gachet)","シャトー・グリエ（ネイレ・ガシェ)","1997","23800","Château Grillet","シャトー・グリエ","959","14","2"
"Vallée du Rhône / Vignoble Méridional","ローヌ河流域 / ローヌ地方南部の栽培地域","5","1","Dom. Brusset","ドメーヌ・ブリュッセ","2000","12600","Gigondas les Hauts de Montmirail","ジゴンダス・レ・オート・ドゥ・ミライユ","961","14","51"
"Languedoc","ラングドック地方","3","1","Dom. Peyre Rose","ドメーヌ・ペイル・ロズ","1999","15750","Coteaux du Languedoc Oro","コトー・デュ・ラングドック・オロ","962","15","1"
"Languedoc","ラングドック地方","5","1","Dom. Peyre Rose","ドメーヌ・ペイル・ロズ","2002","16800","Coteaux du Languedoc Clos Syrah Léone","コトー・デュ・ラングドック・クロ・シラー・レオン","963","26","1"
"Jura","ジュラ地方","3","1","Dom. Rolet Père & Fils","ドメーヌ・ロレ・ペール・エ・フィス","1992","25200","Arbois","アルボワ","964","12","1"
"Bourgogne","ブルゴーニュ地方","5","1","Dom. Jacob-Girard","ドメーヌ・ジャコブ・ジラール","2012","6950","Savigny les Beaune ","サヴィニィ・レ・ボーヌ","965","11","700"
"Bourgogne","ブルゴーニュ地方","5","1","Dom. Jacob-Girard","ドメーヌ・ジャコブ・ジラール","2012","7950","Savigny les Beaune 1er Cru les Marconnets","サヴィニィ・レ・ボーヌ･プルミエ・クリュ・レ・マルコネ","966","11","700"
"Bourgogne","ブルゴーニュ地方","5","1","Dom. Jacob-Girard","ドメーヌ・ジャコブ・ジラール","2009","6950","Pernand Vergelesses","ペルナン・ヴェルジュレス","967","11","700"
