"region","region_jpn","type","int_country","producer","producer_jpn","vintage","store_price","name","name_jpn","sort_order","general_region","aoc_order"
"Vallée de la Loire / Touraine","ロワール河流域 / トゥーレーヌ地区","5","1","Dom. Philippe Alliet","ドメーヌ・フィリップ・アリエ","2006","6800","Chinon Vieilles Vignes","シノン・ヴィエーユ・ヴィーニュ","17","8","201"
"Vallée de la Loire / Touraine","ロワール河流域 / トゥーレーヌ地区","5","1","Dom. Philippe Alliet","ドメーヌ・フィリップ・アリエ","2005","9000","Chinon l'Huisserie","シノン・リュイスリー","18","8","201"
"Vallée de la Loire / Touraine","ロワール河流域 / トゥーレーヌ地区","5","1","Dom. Philippe Alliet","ドメーヌ・フィリップ・アリエ","2006","7800","Chinon l'Huisserie","シノン・リュイスリー","19","8","201"
"Vallée de la Loire / Touraine","ロワール河流域 / トゥーレーヌ地区","5","1","Dom. Philippe Alliet","ドメーヌ・フィリップ・アリエ","2004","8000","Chinon Coteau de Noiré","シノン・コトー・デ・ノワレ","20","8","201"
"Vallée de la Loire / Touraine","ロワール河流域 / トゥーレーヌ地区","5","1","Dom. Philippe Alliet","ドメーヌ・フィリップ・アリエ","2005","10500","Chinon Coteau de Noiré","シノン・コトー・デ・ノワレ","21","8","201"
"Vallée de la Loire / Touraine","ロワール河流域 / トゥーレーヌ地区","5","1","Dom. Philippe Alliet","ドメーヌ・フィリップ・アリエ","2006","8400","Chinon Coteau de Noiré","シノン・コトー・デ・ノワレ","22","8","201"
"Bordeaux / Médoc / Saint-Estèphe","ボルドー地方 / メドック地区 / サン・テステフ（第２級）","5","1","Dom. Prats S.A.","ドメーヌ・プラッツ S.A.","2007","19800","Ch. Cos d'Estournel","シャトー・コス・デストゥルネル","23","9","1"
"Bordeaux / Médoc / Saint-Estèphe","ボルドー地方 / メドック地区 / サン・テステフ（第２級）","5","1","Jean Louis Charmolue","ジャン・ルイ・シャルモリュ","2007","15800","Ch. Montrose","シャトー・モンローズ","24","9","1"
"Bordeaux / Médoc / Pauillac","ボルドー地方 / メドック地区 / ポイヤック（第１級）","5","1","François Pinault","フランソワ・ピノ","2008","63000","Ch. Latour","シャトー・ラトゥール","25","9","2"
"Bordeaux / Médoc / Pauillac","ボルドー地方 / メドック地区 / ポイヤック（第１級）","5","1","Domaines Barons de Rothschild","ドメーヌ・バロン・ドゥ・ロートシルト","2007","73500","Ch. Lafite Rothschild","シャトー・ラフィット・ロートシルト","26","9","2"
"Bordeaux / Médoc / Pauillac","ボルドー地方 / メドック地区 / ポイヤック（第２級）","5","1","Madame May Elaine de Lencquesaing","マダム・メイ・エレーヌ・ドゥ・ランクザン","1985","30000","Ch. Pichon-Longueville-Comtesse de Lalande","シャトー・ピション・ロングヴィル・コンテス・ド・ラランド","27","9","2"
"Bordeaux / Médoc / Pauillac","ボルドー地方 / メドック地区 / ポイヤック（第４級）","5","1","S.C. du Château Duhart Milon","S.C. デュ・シャトー・デュアール・ミロン","2008","12600","Ch. Duhart-Milon Rothschild","シャトー・デュアール・ミロン・ロートシルト","28","9","2"
"Bordeaux / Médoc / Pauillac","ボルドー地方 / メドック地区 / ポイヤック（第５級）","5","1","Famille Guy Tesseron","ファミーユ・ギ・テスロン","1990","24000","Ch. Pontet Canet","シャトー・ポンテ・カネ","29","9","2"
"Bordeaux / Médoc / Pauillac","ボルドー地方 / メドック地区 / ポイヤック（第５級）","5","1","Famille Guy Tesseron","ファミーユ・ギ・テスロン","2008","16800","Ch. Pontet Canet","シャトー・ポンテ・カネ","30","9","2"
"Bordeaux / Médoc / Pauillac","ボルドー地方 / メドック地区 / ポイヤック（第１級・セカンド）","5","1","Domaines Barons de Rothschild","ドメーヌ・バロン・ドゥ・ロートシルト","2005","26000","Carruades de Lafite","カリュアド・ド・ラフィット","31","9","2"
"Bordeaux / Médoc / Pauillac","ボルドー地方 / メドック地区 / ポイヤック（第１級・セカンド）","5","1","Domaines Barons de Rothschild","ドメーヌ・バロン・ドゥ・ロートシルト","2008","25000","Carruades de Lafite","カリュアド・ド・ラフィット","32","9","2"
"Bordeaux / Médoc / Saint-Julien ","ボルドー地方 / メドック地区 / サン・ジュリアン（第４級）","5","1","Famille Maroteaux","ファミーユ・マロトー","1990","25000","Ch. Branaire Ducru","シャトー・ブラネール・デュクリュ","33","9","3"
"Bordeaux / Médoc / Saint-Julien ","ボルドー地方 / メドック地区 / サン・ジュリアン（第２級）","5","1","Jaen-Eugène Borie et Famille","ジャン・ユジェンヌ・ボリー・エ・ファミーユ","2007","15800","Ch. Ducru Beaucaillou","シャトー・デュクリュ・ボーカイユ","34","9","3"
"Bordeaux / Médoc / Saint-Julien ","ボルドー地方 / メドック地区 / サン・ジュリアン（第２級）","5","1","Jacques Merlaut","ジャック・メルロー","1978","22800","Ch. Gruaud Larose","シャトー・グリュオ・ラローズ","35","9","3"
"Bordeaux / Médoc / Saint-Julien ","ボルドー地方 / メドック地区 / サン・ジュリアン（第４級）","5","1","Rustmann&Bignon","リュストマン＆ビニョン","1985","24800","Ch. Talbot","シャトー・タルボ","36","9","3"
"Bordeaux / Médoc / Margaux","ボルドー地方 / メドック地区マルゴー","5","1","S.C. du Château Palmer","S.C. デュ・シャトー・パルメ","2004","26000","V.d.T Français Historical XIXth Century Blend","ヴァン・ド・ターブル・ヒストリカル・19th・センチュリー・ブレンド","37","9","5"
"Bordeaux / Médoc / Moulis","ボルドー地方 / メドック地区 / ムーリ（グラン・ブルジョア・エクセプショネル級）","5","1","Jean Theil S.A.","ジャン・テイユ S.A.","1990","14700","Ch. Poujeaux","シャトー・プジョー","38","9","4"
"Bordeaux / Saint-Émilion","ボルドー地方 / サン・テミリオン地区　(サンテミリオン第１特別A級・セカンド）","5","1","Héritiers Fourcaud-Laussac","エリティエ・フルコー・ローサック","2007","17800","Petit Cheval","プティ・シュヴァル","39","9","11"
"Bordeaux / Saint-Émilion","ボルドー地方 / サン・テミリオン地区　(サンテミリオン特別級）","5","1","Crémant Fayat","クレマン・ファイヤ","2004","10000","Ch. la Dominique","シャトー・ラ・ドミニク","40","9","11"
"Bordeaux / Saint-Émilion","ボルドー地方 / サン・テミリオン地区　(サンテミリオン特級）","5","1","Gérard et Dominique Bécot","ジェラール・エ・ドミニク・ベコ","2007","11550","Ch. la Gomerie","シャトー・ラ・ゴムリー","41","9","11"
"Bordeaux / Saint-Émilion","ボルドー地方 / サン・テミリオン地区","5","1","Gérard Perse","ジェラール・ペルス","1996","13000","Ch. Monbousquet","シャトー・モンブスケ","42","9","11"
"Bordeaux / Saint-Émilion","ボルドー地方 / サン・テミリオン地区","5","1","Cpmtes de Neipperg","ネッペール伯爵","2007","25800","Ch. la Mondotte","シャトー・ラ・モンドット","43","9","11"
"Bordeaux / Saint-Émilion","ボルドー地方 / サン・テミリオン地区","5","1","Eric Prisette","エリック・プリゼット","2004","10500","Ch. Rol Valentin","シャトー・ロル・ヴァランタン","44","9","11"
"Bordeaux / Saint-Émilion","ボルドー地方 / サン・テミリオン地区","5","1","Eric Prisette","エリック・プリゼット","1995","14000","Ch. Rol Valentin","シャトー・ロル・ヴァランタン","45","9","11"
"Bordeaux / Saint-Émilion","ボルドー地方 / サン・テミリオン地区　(サンテミリオン特別級）","5","1","G.F.A.Valette","G.F.A. ","2008","15800","Ch. Troplong-Mondot","シャトー・トロロン・モンド","46","9","11"
"Bordeaux / Saint-Émilion","ボルドー地方 / サン・テミリオン地区　(サンテミリオン特級）","5","1","Thunevin","テュヌヴァン","2003","27850","Ch. Varandraud","シャトー・ヴァランドロー","47","9","11"
"Bordeaux / Saint-Émilion","ボルドー地方 / サン・テミリオン地区","5","1","Ch.Teyssier","シャトー・テシエ","2004","18500","le Dome","ル・ドーム","48","9","11"
"Bordeaux / Pomerol","ボルドー地方 / ポムロル地区","5","1","Anne-Marie Dauriac","アンヌ・マリー・ドーリアック","2005","15000","Ch. la Clemence","シャトー・ラ・クレマンス","49","9","12"
"Bordeaux / Pomerol","ボルドー地方 / ポムロル地区","5","1","S.C. des Héritiers Nicolas","S.C. デ・ゼリテュィエ・ニコラ","2007","19800","Ch. la Conseillante","シャトー・ラ・コンセイヤント","50","9","12"
"Bordeaux / Pomerol","ボルドー地方 / ポムロル地区","5","1","Famille Rolland","ファミーユ・ロラン","2005","15800","Ch. le Bon Pasteur","シャトー・ル・ボン・パストゥール","51","9","12"
"Bordeaux / Pomerol","ボルドー地方 / ポムロル地区","5","1","Janoueix","ジャヌエックス","2007","12000","Clos des Litanies","クロ・デ・リタニ","52","9","12"
"Bordeaux / Pomerol","ボルドー地方 / ポムロル地区","5","1","Famille Thienpont","ファミーユ・ティアンポン","2008","16800","Vieux Château Certan","ヴュー・シャトー・セルタン","53","9","12"
"Bordeaux / Pomerol","ボルドー地方 / ポムロル地区","5","1","Famille Servant-Dumas","ファミーユ・セルヴァン・デュマ","2008","58000","Ch. la Violetto","シャトー・ラ・ヴィオレット","54","9","12"
"Bordeaux / Rive Droit de la Dordogne / Côtes de Castillon","ボルドー地方 / ドルドーニュ右岸地区 / コート・ド・カスティヨン","5","1","Thierry Valette","ティエリー・ヴァレット","2005","9450","Ch. Clos Puy Arnaud","シャトー・クロ・ピュイ・アルノー","55","9","13"
"Sud-Ouest","南西地方","5","1","Ch. du Cèdre","シャトー・デュ・セードル","2006","8400","Cahors le Cèdre","カオール・ル・セードル","56","10","1"
"Sud-Ouest","南西地方","5","1","Dom. Alain Brumont","ドメーヌ・アラン・ブリュモン","1995","18000","Madiran Château Motus ""XL""","マディラン・シャトー・モンテュス","57","10","1"
"Sud-Ouest","南西地方","5","1","Dom. Capmrtin","ドメーヌ・カプマルタン","2008","6300","Madiran Cuvée du Couvent","マディラン・キュヴェ・デュ・クーヴァン","58","10","1"
"Sud-Ouest","南西地方","5","1","Dom. Herri Mina","ドメーヌ・エリ・ミナ","2005","7500","Irouléguy","イルレギー","59","10","1"
"Sud-Ouest","南西地方","5","1","Dom. Herri Mina","ドメーヌ・エリ・ミナ","2008","6300","Irouléguy","イルレギー","60","10","1"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Alain Burguet","ドメーヌ・アラン・ビュルゲ","1989","19000","Gevrey-Chambertin Vieilles Vignes","ジュヴレ・シャンベルタン・ヴィエイユ・ヴィーニュ","61","11","203"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Armand Rousseau","ドメーヌ・アルマン・ルソー","2008","15000","Gevrey-Chambertin","ジュヴレ・シャンベルタン","62","11","203"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Bernar Dugat-Py","ドメーヌ・ベルナール・デュガ・ピィ","1998","23000","Gevrey-Chambertin Vieilles Vignes","ジュヴレ・シャンベルタン・ヴィエイユ・ヴィーニュ","63","11","203"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Claude Dugat","ドメーヌ・クロード・デュガ","2005","17000","Gevrey-Chambertin","ジュヴレ・シャンベルタン","64","11","203"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Truchot-Martin","ドメーヌ・トルショ・マルタン","2005","22800","Gevrey-Chambertin 1er Cru aux Combottes","ジュヴレ・シャンベルタン・プルミエ・クリュ・オー・コンボット","65","11","204"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Georges Roumier","ドメーヌ・ジョルジュ・ルーミエ","1995","56750","Ruchottes-Chambertin Grand Cru ","ルショット・シャンベルタン・グラン・クリュ","66","11","205"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Claude Dugat","ドメーヌ・クロード・デュガ","2008","32000","Chapelle-Chambertin Grand Cru ","シャペル・シャンベルタン・グラン・クリュ","67","11","208"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Armand Rousseau","ドメーヌ・アルマン・ルソー","1996","29800","Charmes-Chambertin Grand Cru","シャルム・シャンベルタン・グラン・クリュ","68","11","212"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Claude Dugat","ドメーヌ・クロード・デュガ","1997","63000","Charmes-Chambertin Grand Cru","シャルム・シャンベルタン・グラン・クリュ","69","11","212"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Claude Dugat","ドメーヌ・クロード・デュガ","2008","29500","Charmes-Chambertin Grand Cru","シャルム・シャンベルタン・グラン・クリュ","70","11","212"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Gérad Raphet","ドメーヌ・ジェラール・ラフェ","2005","19800","Charmes-Chambertin Grand Cru","シャルム・シャンベルタン・グラン・クリュ","71","11","212"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Jean Pierre Mathieu (Georges Roumier)","ジャン・ピエール・マチュー（ジョルジュ・ルーミエ）","2007","33800","Charmes-Chambertin Grand Cru ","シャルム・シャンベルタン・グラン・クリュ ","72","11","212"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Truchot-Martin","ドメーヌ・トルショ・マルタン","2005","52500","Charmes-Chambertin Vieilles Vignes Grand Cru","シャルム・シャンベルタン・ヴィエーユ・ヴィーニュ・グラン・クリュ","73","11","213"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Drouhin Laroze","ドメーヌ・ドローアン・ラローズ","1990","42000","Chambertin Clos de Bèze Grand Cru","シャンベルタン・クロ・ド・ベズ・グラン・クリュ","74","11","209"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Truchot-Martin","ドメーヌ・トルショ・マルタン","2005","42000","Clos de la Roche Grand Cru","クロ・ド・ラ・ロッシュ・グラン・クリュ","75","11","215"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Dujac","ドメーヌ・デュジャック","1994","38900","Clos Saint Denis Grand Cru","クロ・サンドニ・グラン・クリュ","76","11","216"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Hubert Lignier","ドメーヌ・ユベール・リニエ","2007","13000","Morey-Saint-Denis","モレ・サン・ドニ","77","11","217"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Hubert Lignier","ドメーヌ・ユベール・リニエ","2008","15800","Morey-Saint-Denis Vieilles Vignes","モレ・サン・ドニ・ヴィエーユ・ヴィーニュ","78","11","217"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Truchot-Martin","ドメーヌ・トルショ・マルタン","2005","14700","Morey-Saint-Denis","モレ・サン・ドニ","79","11","217"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Truchot-Martin","ドメーヌ・トルショ・マルタン","2005","18000","Morey-Saint-Denis 1er Cru le Clos Sorbés","モレ・サン・ドニ・プルミエ・クリュ・ル・クロ・ソルベ","80","11","218"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Truchot-Martin","ドメーヌ・トルショ・マルタン","2006","18000","Morey-Saint-Denis 1er Cru le Sorbés","モレ・サン・ドニ・プルミエ・クリュ・ル・ソルベ","81","11","218"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Truchot-Martin","ドメーヌ・トルショ・マルタン","2005","18000","Morey-Saint-Denis 1er Cru les Ruchots","モレ・サン・ドニ・プルミエ・クリュ・レ・ルショ","82","11","218"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Hubert Lignier","ドメーヌ・ユベール・リニエ","2008","13800","Morey-Saint-Denis 1er Cru Branchards","モレ・サン・ドニ・プルミエ・クリュ・ブランシャール","83","11","218"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Truchot-Martin","ドメーヌ・トルショ・マルタン","2005","18000","Morey-Saint-Denis 1er Cru Branchards","モレ・サン・ドニ・プルミエ・クリュ・ブランシャール","84","11","218"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Robert Groffier ","ドメーヌ・ロベール・グロフィエ","1993","50000","Bonnes-Mares Grand Cru","ボンヌ・マール・グラン・クリュ","85","11","221"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Truchot-Martin","ドメーヌ・トルショ・マルタン","1999","25000","Chambolle-Musigny ","シャンボール・ミュジニー","86","11","219"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Ghislaine Barhod","ドメーヌ・ギスレイヌ・バルド","1995","21000","Chambolle-Musigny 1er Cru Beaux Bruns","シャンボール・ミュジニー・プルミエ・ボー・ブリュン","87","11","220"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Truchot-Martin","ドメーヌ・トルショ・マルタン","2005","20000","Chambolle-Musigny 1er Cru les Sentiers","シャンボール・ミュジニー・プルミエ・クリュ・レ・センティエ","88","11","220"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Moine Hudelot","ドメーヌ・モワーヌ・ユドロ","1995","24800","Chambolle-Musigny 1er Cru les Amoureuses","シャンボール・ミュジニー・プルミエ・クリュ・レ・ザムルース","89","11","220"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Anne Gros","ドメーヌ・アンヌ・グロ","1988","157500","Clos de Vougeot Grand Cru le Grand Maupertui (1500ml)","クロ・ド・ヴージョ・グラン・クリュ・レ・グラン・モーペルテュイ(1500ml)","90","11","223"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Jean Gros","ドメーヌ・ジャン･グロ","1995","98000","Clos Vougeot Grand Cru (1500ml)","クロ・ヴージョ・グラン・クリュ(1500ml)","91","11","224"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Jean-Marc Millot","ドメーヌ・ジャン・マルク・ミヨ","2005","22800","Clos Vougeot Grand Cru","クロ・ヴージョ・グラン・クリュ","92","11","224"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. de la Romanée Conti","ドメーヌ・ド・ラ・ロマネ・コンティ","1999","84000","Vosne-Romanée 1er Cru Cuvée Duvault Blochet","ヴォーヌ・ロマネ・プルミエ・クリュ・デュヴォー・ブロシェ","93","11","229"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Alain Hudelot Noellat　","ドメーヌ・アラン・ユドロ・ノエラ","1996","21000","Vosne-Romanée 1er Cru les Suchots","ヴォーヌ・ロマネ・プルミエ・クリュ・レ・スショ","94","11","229"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. René Engel","ドメーヌ・ルネ・アンジェル","1999","23800","Vosne-Romanée 1er Cru les Brulées","ヴォーヌ・ロマネ・プルミエ・クリュ・レ・ブリュレ","95","11","229"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Jean-Marc Millot","ドメーヌ・ジャン・マルク・ミヨ","2005","25000","Grands-Echézeaux Grand Cru","グラン・エシェゾー・グラン・クリュ","96","11","227"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Henri Gouges","ドメーヌ・アンリ・グージュ","1995","17000","Nuits-Saint-Georges 1er Cru les Pruliers","ニュイ・サン・ジョルジュ・プルミエ・クリュ・レ・プリュリエ","97","11","234"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Henri Gouges","ドメーヌ・アンリ・グージュ","1989","35000","Nuits-Saint-Georges 1er Cru les Saint Georges","ニュイ・サン・ジョルジュ・プルミエ・クリュ・レ・サン・ジョルジュ","98","11","234"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Henri Gouges","ドメーヌ・アンリ・グージュ","1997","21000","Nuits-Saint-Georges 1er Cru les Saint Georges","ニュイ・サン・ジョルジュ・プルミエ・クリュ・レ・サン・ジョルジュ","99","11","234"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Méo-Camuzet","ドメーヌ・メオ・カミュゼ","1995","33000","Nuits-Saint-Georges 1er Cru Aux Murgers","ニュイ・サン・ジョルジュ・プルミエ・クリュ・オー・ミュルジュ","100","11","234"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Robert Chevillon","ドメーヌ・ロベール・シュヴィヨン","2002","15000","Nuits-Saint-Georges 1er Cru les Chaignots","ニュイ・サン・ジョルジュ・プルミエ・クリュ・レ・シェニョ","101","11","234"
"Bourgogne / Côte de Beaune","ブルゴーニュ地方 / コート・ドゥ・ボーヌ地区","5","1","Dom. Rapet Pere et Fils","ドメーヌ・ラペ・ペール・エ・フィス","1988","14700","Aloxe Corton","アロース・コルトン","102","11","308"
"Bourgogne / Côte de Beaune","ブルゴーニュ地方 / コート・ドゥ・ボーヌ地区","5","1","Dom. Capitain Gagnerot","ドメーヌ・キャピタン・ガニュロ","2005","10500","Aloxe Corton 1er Cru Moutottes","アロース・コルトン・プルミエ・クリュ・ムートット","103","11","309"
"Bourgogne / Côte de Beaune","ブルゴーニュ地方 / コート・ドゥ・ボーヌ地区","5","1","Dom. P. Dubreuil Fontaine","ドメーヌ・Ｐ・デュブルイユ・フォンティーヌ","1989","25000","Corton Clos du Roi Grand Cru","コルトン・クロ・デュ・ロワ・グラン・クリュ","104","11","306"
"Bourgogne / Côte de Beaune","ブルゴーニュ地方 / コート・ドゥ・ボーヌ地区","5","1","Dom. P. Dubreuil Fontaine","ドメーヌ・Ｐ・デュブルイユ・フォンティーヌ","1990","28000","Corton Clos du Roi Grand Cru","コルトン・クロ・デュ・ロワ・グラン・クリュ","105","11","306"
"Bourgogne / Côte de Beaune","ブルゴーニュ地方 / コート・ドゥ・ボーヌ地区","5","1","Dom. Rapet Pere et Fils","ドメーヌ・ラペ・ペール・エ・フィス","1995","15800","Corton Grand Cru","コルトン・グラン・クリュ","106","11","303"
"Bourgogne / Côte de Beaune","ブルゴーニュ地方 / コート・ドゥ・ボーヌ地区","5","1","Dom. du Château de Chorey","ドメーヌ・デュ・シャトー・ド・ショレイ","1997","11800","Beaune 1er Cru Cent Vignes","ボーヌ・プルミエ・クリュ・サン・ヴィーニュ","107","11","316"
"Bourgogne / Côte de Beaune","ブルゴーニュ地方 / コート・ドゥ・ボーヌ地区","5","1","Dom. Leroy","ドメーヌ・ルロワ","1994","35800","Pommard les Vignots","ポマール・レ・ヴィノ","108","11","317"
"Bourgogne / Côte de Beaune","ブルゴーニュ地方 / コート・ドゥ・ボーヌ地区","5","1","Dom. Roger Prunier","ドメーヌ・ロジェ・プルニエ","1978","28800","Pommard","ポマール","109","11","317"
